session,region,rho_pre,r_pre,r_post,delta_r,abs_delta_r,trial_pre,trial_post
32,Prefrontal,-0.0130063186187342,0.15690104166666663,0.19227583787769045,0.03537479621102382,0.03537479621102382,3,8
32,Motor,-0.4395183360700602,0.15665690104166666,0.23344300418005068,0.07678610313838402,0.07678610313838402,3,8
33,Prefrontal,-0.3606631963880379,0.19692831413529666,0.17272144222404248,-0.024206871911254174,0.024206871911254174,5,10
33,Motor,-0.735632183908046,0.24780970853290052,0.196454765397291,-0.05135494313560951,0.05135494313560951,5,10
34,Prefrontal,-0.2158689716040026,0.1375679347826087,0.20950462293995162,0.07193668815734292,0.07193668815734292,1,5
34,Motor,-0.3541809257199573,0.17691349637681153,0.29889004386402473,0.1219765474872132,0.1219765474872132,1,5
37,Prefrontal,-0.0592597258437195,0.13278899729479485,0.177167178799826,0.044378181505031145,0.044378181505031145,2,7
37,Motor,-0.3683634373289545,0.20387888852643749,0.2054176796446675,0.0015387911182300207,0.0015387911182300207,2,7
41,Prefrontal,-0.2090302000241832,0.13624910769872647,0.1409867160597554,0.004737608361028933,0.004737608361028933,5,8
41,Motor,-0.0986572589641204,0.17642303718166435,0.14639704150674376,-0.03002599567492059,0.03002599567492059,5,8
